Pilot,,,,,,,,,,
1 (0),"""Pilot""","Bill Bailey
Kit Hesketh-Harvey
Eddie Izzard",Bill Bailey,N/A,,https://vk.com/videos-18564830?section=album_40812189&z=video-18564830_170651394%2Fclub18564830%2Calbum-18564830_40812189%2Fpl_album_40812189,https://vk.com/videos-18564830?section=album_40812189&z=video-18564830_170716563%2Fclub18564830%2Calbum-18564830_40812189%2Fpl_album_40812189,,,
Series A,,,,,,,,,,
1 (1),"""Adam""","Danny Baker
Hugh Laurie
John Sessions",Danny Baker,11/09/2003,,,https://vk.com/videos-18564830?section=album_40812189&z=video-18564830_161191179%2Fclub18564830%2Calbum-18564830_40812189%2Fpl_album_40812189,,,
2 (2),"""Astronomy""","Bill Bailey
Rich Hall
Jeremy Hardy",Rich Hall and Jeremy Hardy,18/09/2003,,,https://vk.com/videos-18564830?section=album_40812189&z=video-18564830_456239068%2Fclub18564830%2Fpl_-18564830_40812189,,,
3 (3),"""Aquatic Animals""","Clive Anderson
Bill Bailey
Meera Syal",Clive Anderson,25/09/2003,,,https://vk.com/videos-18564830?section=album_40812189&z=video-18564830_161191177%2Fclub18564830%2Calbum-18564830_40812189%2Fpl_album_40812189,,,
4 (4),"""Atoms""","Jo Brand
Howard Goodall
Jeremy Hardy",Jo Brand,02/10/2003,,,https://vk.com/videos-18564830?section=album_40812189&z=video-18564830_161191175%2Fclub18564830%2Calbum-18564830_40812189%2Fpl_album_40812189,,,
5 (5),"""Advertising""","Gyles Brandreth
Rob Brydon
Rich Hall",Gyles Brandreth,09/10/2003,,,https://vk.com/videos-18564830?section=album_40812189&z=video-18564830_161191173%2Fclub18564830%2Calbum-18564830_40812189%2Fpl_album_40812189,,,
6 (6),"""Antidotes""","Danny Baker
Jo Brand
Howard Goodall",Danny Baker,16/10/2003,,,https://vk.com/videos-18564830?section=album_40812189&z=video-18564830_161191170%2Fclub18564830%2Calbum-18564830_40812189%2Fpl_album_40812189,,,
7 (7),"""Arthropods""","Jo Brand
Jimmy Carr
Jackie Clune",Jackie Clune,23/10/2003,,,https://vk.com/videos-18564830?section=album_40812189&z=video-18564830_163297743%2Fclub18564830%2Calbum-18564830_40812189%2Fpl_album_40812189,,,
8 (8),"""Albania""","Clive Anderson
Sean Lock
Linda Smith",Clive Anderson,30/10/2003,,,https://vk.com/videos-18564830?section=album_40812189&z=video-18564830_161191168%2Fclub18564830%2Calbum-18564830_40812189%2Fpl_album_40812189,,,
9 (9),"""Antelopes / Africa""","Jo Brand
Dave Gorman
Jeremy Hardy",Dave Gorman,06/11/2003,,,https://vk.com/videos-18564830?section=album_40812189&z=video-18564830_161191166%2Fclub18564830%2Calbum-18564830_40812189%2Fpl_album_40812189,,,
10 (10),"""Aviation""","Rich Hall
Julia Morris
Peter Serafinowicz",Alan Davies,13/11/2003,,,https://vk.com/videos-18564830?section=album_40812189&z=video-18564830_161191165%2Fclub18564830%2Calbum-18564830_40812189%2Fpl_album_40812189,,,
11 (11),"""Arts""","Bill Bailey
Richard E. Grant
Linda Smith",Richard E. Grant,20/11/2003,,,https://vk.com/videos-18564830?section=album_40812189&z=video-18564830_161191164%2Fclub18564830%2Calbum-18564830_40812189%2Fpl_album_40812189,,,
12 (12),"""Advent""","Phill Jupitus
Sean Lock
John Sessions",John Sessions,23/12/2003,Christmas,,https://vk.com/videos-18564830?section=album_40812189&z=video-18564830_161191162%2Fclub18564830%2Calbum-18564830_40812189%2Fpl_album_40812189,,,
Series B,,,,,,,,,,
1 (13),"""Blue""","Bill Bailey
Jo Brand
Sean Lock",Sean Lock,08/10/2004,,,https://vk.com/videos-18564830?section=album_40812203&z=video-18564830_161191157%2Fclub18564830%2Calbum-18564830_40812203%2Fpl_album_40812203,,,
2 (14),"""Birds""","Jo Brand
Rich Hall
Phil Kay",Rich Hall,08/10/2004,,,https://vk.com/videos-18564830?section=album_40812203&z=video-18564830_161191156%2Fclub18564830%2Calbum-18564830_40812203%2Fpl_album_40812203,,,
3 (15),"""Bombs""","Clive Anderson
Rich Hall
Phill Jupitus",Phill Jupitus,15/10/2004,,,https://vk.com/videos-18564830?section=album_40812203&z=video-18564830_161191155%2Fclub18564830%2Calbum-18564830_40812203%2Fpl_album_40812203,,,
4 (16),"""Bible""","Jeremy Clarkson
Barry Cryer
Jeremy Hardy",Jeremy Clarkson,22/10/2004,,,https://vk.com/videos-18564830?section=album_40812203&z=video-18564830_162419654%2Fclub18564830%2Calbum-18564830_40812203%2Fpl_album_40812203,,,
5 (17),"""Bears""","Bill Bailey
Jo Brand
Jimmy Carr",Jimmy Carr,29/10/2004,,,https://vk.com/videos-18564830?section=album_40812203&z=video-18564830_161191153%2Fclub18564830%2Calbum-18564830_40812203%2Fpl_album_40812203,,,
6 (18),"""Beavers""","Bill Bailey
Sean Lock
Anneka Rice",Anneka Rice,05/11/2004,,,https://vk.com/videos-18564830?section=album_40812203&z=video-18564830_161191152%2Fclub18564830%2Calbum-18564830_40812203%2Fpl_album_40812203,,,
7 (19),"""Biscuits""","Rich Hall
Dara Ó Briain
Arthur Smith",Dara Ó Briain,12/11/2004,,,https://vk.com/videos-18564830?section=album_40812203&z=video-18564830_161191151%2Fclub18564830%2Calbum-18564830_40812203%2Fpl_album_40812203,,,
8 (20),"""Bees""","Jo Brand
Rich Hall
Fred MacAulay",Rich Hall,19/11/2004,,,https://vk.com/videos-18564830?section=album_40812203&z=video-18564830_161191148%2Fclub18564830%2Calbum-18564830_40812203%2Fpl_album_40812203,,,
9 (21),"""Bats""","Rich Hall
Josie Lawrence
John Sessions",Rich Hall and Josie Lawrence,26/11/2004,,,https://vk.com/videos-18564830?section=album_40812203&z=video-18564830_161191146%2Fclub18564830%2Calbum-18564830_40812203%2Fpl_album_40812203,,,
10 (22),"""Bills""","Clive Anderson
Phil Kay
John Sessions",Clive Anderson,03/12/2004,,,https://vk.com/videos-18564830?section=album_40812203&z=video-18564830_161191145%2Fclub18564830%2Calbum-18564830_40812203%2Fpl_album_40812203,,,
11 (23),"""Beats""","Mark Gatiss
Sean Lock
Linda Smith",Linda Smith,10/12/2004,,,https://vk.com/videos-18564830?section=album_40812203&z=video-18564830_161191143%2Fclub18564830%2Calbum-18564830_40812203%2Fpl_album_40812203,,,
12 (24),"""Birth""","Rich Hall
Phill Jupitus
Mark Steel",Rich Hall,17/12/2004,Christmas,,https://vk.com/videos-18564830?section=album_40812203&z=video-18564830_161191142%2Fclub18564830%2Calbum-18564830_40812203%2Fpl_album_40812203,,,
Series C,,,,,,,,,,
1 (25),"""Campanology""","Bill Bailey
Rob Brydon
Rich Hall",Rich Hall,30/09/2005,,,https://vk.com/videos-18564830?section=album_40812216&z=video-18564830_163088000%2Fclub18564830%2Calbum-18564830_40812216%2Fpl_album_40812216,,,
2 (26),"""Cummingtonite""","Andy Hamilton
Doon Mackichan
Arthur Smith",Andy Hamilton,30/09/2005,,,https://vk.com/videos-18564830?section=album_40812216&z=video-18564830_163087997%2Fclub18564830%2Calbum-18564830_40812216%2Fpl_album_40812216,,,
